"cuisine","cuisine_label","k_models","min_median","max_median","grand_mean_median","min_q025","max_q975","min_p_gt_0","max_p_gt_0","consensus_direction"
"french","French",12,-0.0063607742,0.6886395,0.422485072175,-0.21028946275,0.849839625,0.448375,1,"Spans Zero (< 95% Mass)"
"japanese","Japanese",12,-0.000395453465,0.290322,0.172226348844583,-0.14489334,0.445937525,0.495666666666667,0.99975,"Spans Zero (< 95% Mass)"
"swedish","Swedish",12,0.0137617855,0.200384,0.12425890675,-0.06896546255,0.3553257725,0.633916666666667,0.9955,"Spans Zero (< 95% Mass)"
"italian","Italian",12,0.02283935,0.07996375,0.0599206477083333,-0.090097875,0.23187185,0.71,0.915083333333333,"Spans Zero (< 95% Mass)"
"korean","Korean",12,-0.00219025405,0.0827072,0.0451911521708333,-0.085422552475,0.237256875,0.481,0.88,"Spans Zero (< 95% Mass)"
"vietnamese","Vietnamese",12,-0.047421061,-0.0036815123,-0.0280473792625,-0.2040939,0.11576845,0.24525,0.427458333333333,"Spans Zero (< 95% Mass)"
"peruvian","Peruvian",12,-0.062415599,-0.00037518906,-0.038559698105,-0.222113475,0.0993161011500001,0.18625,0.490875,"Spans Zero (< 95% Mass)"
"lebanese","Lebanese",12,-0.081348588,-0.0031730182,-0.0488828515583333,-0.238301725,0.078590355,0.1285,0.441083333333333,"Spans Zero (< 95% Mass)"
"moroccan","Moroccan",12,-0.07977165,-0.0168924075,-0.0553381887916667,-0.23923925,0.080543115,0.104,0.277583333333333,"Spans Zero (< 95% Mass)"
"mexican","Mexican",12,-0.147163,0.0144361155,-0.084851449875,-0.303670875,0.14922505,0.02325,0.665416666666667,"Spans Zero (< 95% Mass)"
"pakistani","Pakistani",12,-0.142494,-0.0087029761,-0.0911360081333333,-0.303429075,0.0881146156749999,0.02525,0.355166666666667,"Spans Zero (< 95% Mass)"
"ethiopian","Ethiopian",12,-0.1686255,-0.0172432795,-0.108543041291667,-0.32644415,0.0463442444,0.013,0.302375,"Spans Zero (< 95% Mass)"
"jamaican","Jamaican",12,-0.223470285,-0.0032639804,-0.136705241491667,-0.383416125,0.07680297785,0.00175,0.445541666666667,"Spans Zero (< 95% Mass)"
"native_american","Native American",12,-0.2604015,0.0233834545,-0.149390829625,-0.420247625,0.191835825,0.00025,0.568166666666667,"Spans Zero (< 95% Mass)"
"nigerian","Nigerian",12,-0.24761141,-0.014662209,-0.156742288291667,-0.4088569,0.0576841281,0.00025,0.42575,"Spans Zero (< 95% Mass)"
