domain,domain_label,threshold,threshold_label,re,re_label,model_file,term_raw,term,label,domain_group,param_type,transition,median,mean,sd,q025,q05,q95,q975,p_gt_0,p_lt_0
base,Core Baseline,strict,Strict (Equal Slopes),ri,Random Intercepts,hier_base_strict_ri.rds,b_educ_c,educ_c,Educational Attainment,Cultural Capital,scalar,global,0.11952663999999999,0.119473801106,0.03238883381293205,0.0554820497,0.06614023584999999,0.17263390150000002,0.18538076525000002,1,0
base,Core Baseline,strict,Strict (Equal Slopes),ri,Random Intercepts,hier_base_strict_ri.rds,b_peduc_c,peduc_c,Parental Education,Cultural Capital,scalar,global,-0.0198564235,-0.0200440911270006,0.033145467103727705,-0.085203052075,-0.07413768895,0.03462098584999998,0.047702060575000045,0.262,0.738
base,Core Baseline,strict,Strict (Equal Slopes),ri,Random Intercepts,hier_base_strict_ri.rds,b_social_c,social_c,Social Conservatism,Ideology,scalar,global,0.14538073,0.1450702817351875,0.048387570614082366,0.049403854350000005,0.0657402855,0.22490864449999998,0.24049193800000002,0.99775,0.00225
base,Core Baseline,strict,Strict (Equal Slopes),ri,Random Intercepts,hier_base_strict_ri.rds,b_economic_c,economic_c,Economic Conservatism,Ideology,scalar,global,-0.0122524985,-0.011927354668713775,0.048349032063266996,-0.10545017150000001,-0.09005104085,0.06706435309999999,0.085467594775,0.396,0.604
base,Core Baseline,strict,Strict (Equal Slopes),ri,Random Intercepts,hier_base_strict_ri.rds,b_income_c,income_c,Household Income,Demographics,scalar,global,0.019173438,0.0205124417469095,0.0315223706928721,-0.038776629875,-0.02907240475,0.07354652704999996,0.08817535755000001,0.748,0.252
base,Core Baseline,strict,Strict (Equal Slopes),ri,Random Intercepts,hier_base_strict_ri.rds,b_age_c,age_c,Age,Demographics,scalar,global,-0.058662343000000006,-0.0585396368794575,0.0288016453842492,-0.1145090975,-0.1057725505,-0.009913124770000037,-0.0023553762649999913,0.0205,0.9795
base,Core Baseline,strict,Strict (Equal Slopes),ri,Random Intercepts,hier_base_strict_ri.rds,b_arts_c,arts_c,Childhood Arts Socialization,Cultural Capital,scalar,global,-0.036694021,-0.03741108127295025,0.031194609473122834,-0.09742315727499999,-0.08918201704999999,0.013608943749999974,0.023361201775000024,0.10925,0.89075
base,Core Baseline,strict,Strict (Equal Slopes),ri,Random Intercepts,hier_base_strict_ri.rds,b_gend.fWoman,gend.fWoman,Gender: Woman,Demographics,scalar,global,-0.16152767,-0.162282151322275,0.05804519529350807,-0.2809994445,-0.25697710799999995,-0.07120216115,-0.05422282537499999,0.001,0.999
base,Core Baseline,strict,Strict (Equal Slopes),ri,Random Intercepts,hier_base_strict_ri.rds,b_gend.fNonbinaryDOther,gend.fNonbinaryDOther,Gender: Nonbinary / Other,Demographics,scalar,global,-0.28107091,-0.2822498469080025,0.2620370833050934,-0.80993791975,-0.7257482789999999,0.14555932449999978,0.22770906750000008,0.144,0.856
base,Core Baseline,strict,Strict (Equal Slopes),ri,Random Intercepts,hier_base_strict_ri.rds,b_race.fAsian,race.fAsian,Ethnoracial: Asian,Ethnoracial Identification,scalar,global,-0.111026105,-0.113875123090237,0.12031206854109584,-0.3548038755,-0.31451369700000004,0.08085487489999996,0.12137373300000001,0.17025,0.82975
base,Core Baseline,strict,Strict (Equal Slopes),ri,Random Intercepts,hier_base_strict_ri.rds,b_race.fBlack,race.fBlack,Ethnoracial: Black,Ethnoracial Identification,scalar,global,0.036813200500000004,0.034677579010884,0.08692860285924267,-0.13779749474999997,-0.10870013049999999,0.177753775,0.20437746825,0.652,0.348
base,Core Baseline,strict,Strict (Equal Slopes),ri,Random Intercepts,hier_base_strict_ri.rds,b_race.fHispanic,race.fHispanic,Ethnoracial: Hispanic / Latino,Ethnoracial Identification,scalar,global,0.0105266465,0.00527158524033275,0.12200871927564473,-0.2395351885,-0.2003939025,0.19454700899999994,0.23799540500000002,0.532,0.468
base,Core Baseline,strict,Strict (Equal Slopes),ri,Random Intercepts,hier_base_strict_ri.rds,b_race.fMixedOther,race.fMixedOther,Ethnoracial: Mixed Other,Ethnoracial Identification,scalar,global,-0.190346515,-0.193058381878565,0.16755620609439137,-0.5369439524999999,-0.4748638075,0.07874527079999985,0.12658963950000005,0.125,0.875
base,Core Baseline,strict,Strict (Equal Slopes),ri,Random Intercepts,hier_base_strict_ri.rds,b_race.fMixedWhite,race.fMixedWhite,Ethnoracial: Mixed White,Ethnoracial Identification,scalar,global,-0.264229055,-0.264815216771565,0.10167625646092163,-0.4654636535,-0.4313717135,-0.09666709585000012,-0.06548826887499998,0.002,0.998
base,Core Baseline,relaxed,Relaxed CS,ri,Random Intercepts,hier_base_relaxed_ri.rds,b_income_c,income_c,Household Income,Demographics,scalar,global,0.020536213999999997,0.02081993266076025,0.03151656621874792,-0.04224647955,-0.03135102165,0.07216939919999998,0.08309394757500001,0.75175,0.24825
base,Core Baseline,relaxed,Relaxed CS,ri,Random Intercepts,hier_base_relaxed_ri.rds,b_age_c,age_c,Age,Demographics,scalar,global,-0.0582931545,-0.05892961141191075,0.028449222591953604,-0.116899628,-0.10752057799999999,-0.013683879500000003,-0.005306183794999987,0.01875,0.98125
base,Core Baseline,relaxed,Relaxed CS,ri,Random Intercepts,hier_base_relaxed_ri.rds,b_gend.fWoman,gend.fWoman,Gender: Woman,Demographics,scalar,global,-0.17280599,-0.17352262951517,0.057709519592508675,-0.28946689975,-0.26842726950000007,-0.08050251395000001,-0.0632916164,5e-4,0.9995
base,Core Baseline,relaxed,Relaxed CS,ri,Random Intercepts,hier_base_relaxed_ri.rds,b_gend.fNonbinaryDOther,gend.fNonbinaryDOther,Gender: Nonbinary / Other,Demographics,scalar,global,-0.31764438,-0.3163375786513575,0.2563538608361771,-0.8312880345,-0.7465328520000001,0.10437552599999986,0.18067899850000038,0.11125,0.88875
base,Core Baseline,relaxed,Relaxed CS,ri,Random Intercepts,hier_base_relaxed_ri.rds,b_race.fAsian,race.fAsian,Ethnoracial: Asian,Ethnoracial Identification,scalar,global,-0.110165585,-0.11380646383182612,0.12052732602966196,-0.35614387374999995,-0.316823356,0.08134925849999991,0.12710951775000015,0.15875,0.84125
base,Core Baseline,relaxed,Relaxed CS,ri,Random Intercepts,hier_base_relaxed_ri.rds,b_race.fBlack,race.fBlack,Ethnoracial: Black,Ethnoracial Identification,scalar,global,0.034207816,0.03316720286862925,0.08230529582510994,-0.12529288975,-0.1011637205,0.17269838499999998,0.1945437085000001,0.65375,0.34625
base,Core Baseline,relaxed,Relaxed CS,ri,Random Intercepts,hier_base_relaxed_ri.rds,b_race.fHispanic,race.fHispanic,Ethnoracial: Hispanic / Latino,Ethnoracial Identification,scalar,global,-0.0021160919,-0.0044284528396325,0.12394639243196898,-0.254208518,-0.21137256000000001,0.19974048549999995,0.24097050950000004,0.49425,0.50575
base,Core Baseline,relaxed,Relaxed CS,ri,Random Intercepts,hier_base_relaxed_ri.rds,b_race.fMixedOther,race.fMixedOther,Ethnoracial: Mixed Other,Ethnoracial Identification,scalar,global,-0.19857309,-0.19733952664176574,0.17855732552388293,-0.54309460925,-0.48986061950000004,0.09503863679999983,0.14397202800000014,0.1355,0.8645
base,Core Baseline,relaxed,Relaxed CS,ri,Random Intercepts,hier_base_relaxed_ri.rds,b_race.fMixedWhite,race.fMixedWhite,Ethnoracial: Mixed White,Ethnoracial Identification,scalar,global,-0.28362811,-0.284842111815275,0.10525444144302781,-0.48301329875,-0.45829290800000005,-0.11024160850000021,-0.078346819575,0.00125,0.99875
base,Core Baseline,relaxed,Relaxed CS,ri,Random Intercepts,hier_base_relaxed_ri.rds,bcs_educ_c_avg,educ_c,Educational Attainment,Cultural Capital,cs_average,mean_1_6,0.11525058841666666,0.1147429700380003,0.03353538735469874,0.048409079950833336,0.05732071273916667,0.1673920525166666,0.17846767925833334,1,0
base,Core Baseline,relaxed,Relaxed CS,ri,Random Intercepts,hier_base_relaxed_ri.rds,bcs_peduc_c_avg,peduc_c,Parental Education,Cultural Capital,cs_average,mean_1_6,-0.03363724126666667,-0.03341978135791741,0.035861973666928275,-0.10202351308708334,-0.09178242176666666,0.02648115832,0.03880955532416669,0.16925,0.83075
base,Core Baseline,relaxed,Relaxed CS,ri,Random Intercepts,hier_base_relaxed_ri.rds,bcs_social_c_avg,social_c,Social Conservatism,Ideology,cs_average,mean_1_6,0.18342544591666665,0.18395951402053934,0.05006351858217425,0.08788556263583333,0.10084482319333334,0.267992660075,0.2838506199625,1,0
base,Core Baseline,relaxed,Relaxed CS,ri,Random Intercepts,hier_base_relaxed_ri.rds,bcs_economic_c_avg,economic_c,Economic Conservatism,Ideology,cs_average,mean_1_6,-0.03779018518333333,-0.038274903088245243,0.050296369933972684,-0.13695091330833334,-0.12118738055833334,0.04335669068083323,0.05978734117500003,0.2245,0.7755
base,Core Baseline,relaxed,Relaxed CS,ri,Random Intercepts,hier_base_relaxed_ri.rds,bcs_arts_c_avg,arts_c,Childhood Arts Socialization,Cultural Capital,cs_average,mean_1_6,-0.03241671224999999,-0.03258142458474645,0.032415604881987074,-0.09604458555833333,-0.08594473124166667,0.02038495827833333,0.030054507976250016,0.15675,0.84325
base,Core Baseline,strict,Strict (Equal Slopes),rs,Crossed Random Slopes,hier_base_strict_rs.rds,b_educ_c,educ_c,Educational Attainment,Cultural Capital,scalar,global,0.12237122,0.121343777166275,0.03515797871973493,0.0517512634,0.06265141905,0.178378726,0.18851658775000005,0.99975,2.5e-4
base,Core Baseline,strict,Strict (Equal Slopes),rs,Crossed Random Slopes,hier_base_strict_rs.rds,b_peduc_c,peduc_c,Parental Education,Cultural Capital,scalar,global,-0.022775240000000002,-0.0225921773521275,0.03290906619557435,-0.085886021625,-0.07577169289999999,0.03157047344999999,0.043991981725000004,0.241,0.759
base,Core Baseline,strict,Strict (Equal Slopes),rs,Crossed Random Slopes,hier_base_strict_rs.rds,b_social_c,social_c,Social Conservatism,Ideology,scalar,global,0.148434265,0.148597651854875,0.05220437120168696,0.047765346150000006,0.06373296460000001,0.23425056349999998,0.25062471125,0.9985,0.0015
base,Core Baseline,strict,Strict (Equal Slopes),rs,Crossed Random Slopes,hier_base_strict_rs.rds,b_economic_c,economic_c,Economic Conservatism,Ideology,scalar,global,-0.0178201105,-0.016289831227775546,0.05004027166285759,-0.113753401,-0.09829524869999999,0.06556446439999997,0.08427976802500003,0.364,0.636
base,Core Baseline,strict,Strict (Equal Slopes),rs,Crossed Random Slopes,hier_base_strict_rs.rds,b_income_c,income_c,Household Income,Demographics,scalar,global,0.022287442499999997,0.022113370885381824,0.03304703013013847,-0.043115386425,-0.032500106699999996,0.07644527959999996,0.08605426405000001,0.75075,0.24925
base,Core Baseline,strict,Strict (Equal Slopes),rs,Crossed Random Slopes,hier_base_strict_rs.rds,b_age_c,age_c,Age,Demographics,scalar,global,-0.062213401,-0.062137612315672074,0.028737012655254888,-0.11912364,-0.11060520300000001,-0.014355687800000003,-0.004578717644999993,0.018,0.982
base,Core Baseline,strict,Strict (Equal Slopes),rs,Crossed Random Slopes,hier_base_strict_rs.rds,b_arts_c,arts_c,Childhood Arts Socialization,Cultural Capital,scalar,global,-0.034935308,-0.0350625606153405,0.03504942705225645,-0.10386819275,-0.0930201894,0.022544304299999887,0.034369674100000004,0.1605,0.8395
base,Core Baseline,strict,Strict (Equal Slopes),rs,Crossed Random Slopes,hier_base_strict_rs.rds,b_gend.fWoman,gend.fWoman,Gender: Woman,Demographics,scalar,global,-0.16176932500000002,-0.160544607289075,0.05734488286315285,-0.27326225325000003,-0.25337928649999997,-0.06416639430000004,-0.047043852124999994,0.003,0.997
base,Core Baseline,strict,Strict (Equal Slopes),rs,Crossed Random Slopes,hier_base_strict_rs.rds,b_gend.fNonbinaryDOther,gend.fNonbinaryDOther,Gender: Nonbinary / Other,Demographics,scalar,global,-0.29631868,-0.2959262725025335,0.2632347878885901,-0.82744926425,-0.7241129884999999,0.13945159399999993,0.21918129950000012,0.12825,0.87175
base,Core Baseline,strict,Strict (Equal Slopes),rs,Crossed Random Slopes,hier_base_strict_rs.rds,b_race.fAsian,race.fAsian,Ethnoracial: Asian,Ethnoracial Identification,scalar,global,-0.11297104,-0.114368504997255,0.12115548229394651,-0.350903152,-0.316808712,0.0835179809499999,0.116219621,0.171,0.829
base,Core Baseline,strict,Strict (Equal Slopes),rs,Crossed Random Slopes,hier_base_strict_rs.rds,b_race.fBlack,race.fBlack,Ethnoracial: Black,Ethnoracial Identification,scalar,global,0.021473757500000003,0.020038007488335775,0.08597688600383459,-0.15160518174999998,-0.123700048,0.15897577199999993,0.18570285125000002,0.60025,0.39975
base,Core Baseline,strict,Strict (Equal Slopes),rs,Crossed Random Slopes,hier_base_strict_rs.rds,b_race.fHispanic,race.fHispanic,Ethnoracial: Hispanic / Latino,Ethnoracial Identification,scalar,global,0.0105465785,0.00986290239558505,0.12501547757948725,-0.24018275149999999,-0.1993378075,0.21414444999999993,0.24832678025000007,0.53175,0.46825
base,Core Baseline,strict,Strict (Equal Slopes),rs,Crossed Random Slopes,hier_base_strict_rs.rds,b_race.fMixedOther,race.fMixedOther,Ethnoracial: Mixed Other,Ethnoracial Identification,scalar,global,-0.19230241,-0.1965770450303745,0.17445281765544826,-0.552760159,-0.49846965499999996,0.08979490274999992,0.146311044,0.12175,0.87825
base,Core Baseline,strict,Strict (Equal Slopes),rs,Crossed Random Slopes,hier_base_strict_rs.rds,b_race.fMixedWhite,race.fMixedWhite,Ethnoracial: Mixed White,Ethnoracial Identification,scalar,global,-0.28001573,-0.280864087709125,0.10087701841236069,-0.47892167375000005,-0.4508257585,-0.11406121350000004,-0.08802816957499997,0.00125,0.99875
base,Core Baseline,relaxed,Relaxed CS,rs,Crossed Random Slopes,hier_base_relaxed_rs.rds,b_income_c,income_c,Household Income,Demographics,scalar,global,0.0219941895,0.021898375325866,0.03269613645454202,-0.043655539099999995,-0.031711861749999994,0.0755170702,0.0860860946,0.7485,0.2515
base,Core Baseline,relaxed,Relaxed CS,rs,Crossed Random Slopes,hier_base_relaxed_rs.rds,b_age_c,age_c,Age,Demographics,scalar,global,-0.0570190125,-0.057446390673312,0.03097521732940656,-0.11831434675000001,-0.10878415100000001,-0.006970752675000003,0.0025218286650000132,0.0295,0.9705
base,Core Baseline,relaxed,Relaxed CS,rs,Crossed Random Slopes,hier_base_relaxed_rs.rds,b_gend.fWoman,gend.fWoman,Gender: Woman,Demographics,scalar,global,-0.17774678500000002,-0.179495184231,0.059468976985389825,-0.2981170825,-0.27772503150000005,-0.0813847421,-0.063259688175,7.5e-4,0.99925
base,Core Baseline,relaxed,Relaxed CS,rs,Crossed Random Slopes,hier_base_relaxed_rs.rds,b_gend.fNonbinaryDOther,gend.fNonbinaryDOther,Gender: Nonbinary / Other,Demographics,scalar,global,-0.336390445,-0.3407768685584225,0.27231384334516423,-0.8805823625000001,-0.8022729049999999,0.10257384249999997,0.17662613900000002,0.105,0.895
