predictor_label,term,cuisine_group,cuisine_label,k_models,consensus_mean,consensus_median,q025,q975,p_pos,p_neg,cred_status
Social Conservatism,social_c,Consecrated,French,5,0.027832753216222552,0.027072941666666656,-0.09327560895833331,0.15154940834999997,0.67155,0.32845,Spans Zero (< 95% Mass)
Social Conservatism,social_c,Consecrated,Japanese,5,0.07885373322413305,0.07861065749999999,-0.035719991249999986,0.19365367398333316,0.9128,0.0872,Spans Zero (< 95% Mass)
Social Conservatism,social_c,Consecrated,Swedish,5,0.14516189238231655,0.14443884999999998,0.03417552125,0.2584070114999999,0.99495,0.00505,Credibly Positive (≥ 95% Mass)
Social Conservatism,social_c,Intermediate,Italian,5,0.18268855795318328,0.18247529034166668,0.0675369675,0.30058873871666664,0.9992,8e-4,Credibly Positive (≥ 95% Mass)
Social Conservatism,social_c,Intermediate,Korean,5,0.14423395602936892,0.14419603083333332,0.033835030108333324,0.25603838418749986,0.9942,0.0058,Credibly Positive (≥ 95% Mass)
Social Conservatism,social_c,Intermediate,Lebanese,5,0.21242337052371224,0.2126945672666667,0.09665703125,0.32929693041666663,0.99985,1.5e-4,Credibly Positive (≥ 95% Mass)
Social Conservatism,social_c,Intermediate,Moroccan,5,0.1585635454753068,0.15842642499999998,0.04467766666666667,0.2730161307441666,0.99715,0.00285,Credibly Positive (≥ 95% Mass)
Social Conservatism,social_c,Intermediate,Peruvian,5,0.19808420199640353,0.19807446666666667,0.08481285337916665,0.31323277720583337,0.99985,1.5e-4,Credibly Positive (≥ 95% Mass)
Social Conservatism,social_c,Intermediate,Vietnamese,5,0.16848574607475508,0.1683284911416667,0.05472061112500001,0.2832725716333333,0.99815,0.00185,Credibly Positive (≥ 95% Mass)
Social Conservatism,social_c,Subaltern,Ethiopian,5,0.17379919761387191,0.1739865683333333,0.055559503425000004,0.29225953499999996,0.9986,0.0014,Credibly Positive (≥ 95% Mass)
Social Conservatism,social_c,Subaltern,Jamaican,5,0.2096140697951423,0.21003679993000002,0.09015790896249999,0.32957690300833326,0.9997,3e-4,Credibly Positive (≥ 95% Mass)
